Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
39,2024,MRI,Original,Lumbar Spine,Cervical Spine; Thoracic Spine; Lumbar Spine,Lumbar Vertebrae,Voxel Mask,91,Age; Gender; Weight; Orthopedic Relevant Condition,Open,Allowed,CC BY 4.0
40,2023,MRI,Original,Lumbar Spine,Thoracic Spine; Lumbar Spine; Pelvis,Lumbar Vertebrae,Voxel Mask,218,Gender,Open,Allowed,CC BY 4.0
41,2022,CT,Original,Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,Cervical Vertebrae,Voxel Mask,2022,,Open,Not Allowed,Other
42,2019,MRI,Original,Lumbar Spine,Lumbar Spine,Lumbar Vertebrae,Voxel Mask,54,Age; Gender; Weight; Height; BMI,Open,Unknown,N/A
43,2021,CT,Adopted,,,Cranial Bones,Voxel Mask,100,,Open,Allowed,CC BY-NC-SA 4.0
44,2021,CT,Mixed,,,Cranial Bones,Voxel Mask,11,,Open,Unknown,N/A
45,2020,CT,Original,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,15243,Age; Gender; Weight; Height; Ethnicity; Clinical Condition; Orthopedic Relevant Condition,Restricted,Not Allowed,Other
46,2013,CT,Original,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,108,Age; Gender; Weight; Height,Open,Allowed,CC BY-NC-SA 3.0
47,2024,CT,Adopted,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,882,Age; Gender; Weight; Height,Mixed,Mixed,CC BY 3.0; CC BY-NC 3.0; CC BY 4.0; Other; TCIA Restricted
48,2024,CT; PET,Mixed,Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,597,Age,Open,Allowed,CC BY-NC 4.0
