Dataset Name,Access Link,Related Paper,Country,Year,Size,Remarks,Medical Images Included,Imaging Modality,Image Source,Image Source Details,Primary Imaged Regions,Secondary Imaged Regions,Available 3D Bone Shapes,Additional Structures,Landmarks,Voxel Segmentation Mask,Mesh Model,CAD Model,Number of Subjects,Available Information per Subject,Subjects Vital Status,Subjects Clinical Condition,Access Policy,Data Redistribution Policy,Research Use Policy,Commercial Use Policy,License
,,,Brazil,2024,1.3,,Yes,MRI,Original,,Lumbar Spine,Cervical Spine; Thoracic Spine; Lumbar Spine,Lumbar Vertebrae,,,Available,,,91,Age; Gender; Weight; Orthopedic Relevant Condition,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Netherlands,2023,3.8,,Yes,MRI,Original,,Lumbar Spine,Thoracic Spine; Lumbar Spine; Pelvis,Lumbar Vertebrae,,,Available,,,218,Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2022,343.51,,Yes,CT,Original,,Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine,Cervical Vertebrae,,,Available,,,2022,,,,Open Access,Restricted,,,Other
,,,Germany,2019,2.3,,Yes,MRI,Original,,Lumbar Spine,Lumbar Spine,Lumbar Vertebrae,,,Available,,,54,Age; Gender; Weight; Height; BMI,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,Austria,2021,0.137,,No,CT,Adopted,,,,Cranial Bones,,,Available,,,100,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,Austria,2021,0.247,,No,CT,Original; Adopted,,,,Cranial Bones,,,Available,,,11,,,,Open Access,Not Specified,Not Specified,Not Specified,N/A
,,,USA,2020,more than 50 TB,,Yes,CT,Original,,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,15243,Age; Gender; Weight; Height; Ethnicity; Clinical Condition; Orthopedic Relevant Condition,,,Restricted,Restricted,,,Other
,,,Switzerland,2013,116.3,,Yes,CT,Original,,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,108,Age; Gender; Weight; Height,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 3.0
,,,Germany,2024,103,,Yes,CT,Adopted,,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,882,Age; Gender; Weight; Height,,,Open Access; Restricted,Allowed; Restricted,Allowed; Restricted,Allowed; Restricted,CC BY 3.0; CC BY-NC 3.0; CC BY 4.0; Other; TCIA Restricted
,,,Germany,2024,112.5,,Yes,CT; PET,Original; Adopted,,Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Hip,Whole Body; Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Shoulder; Upper Arm; Elbow; Forearm; Wrist; Hand; Hip; Upper Leg; Knee; Lower Leg; Ankle; Foot,,,,,,,597,Age,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
